supplier,week,transporter,quantity,loss_rate
S151,18,T3,707.4,0.0
S151,19,T6,738.0,0.007400000000000001
S151,20,T6,686.7,0.0
S151,23,T5,910.8,0.0
S194,5,T4,490.5,0.0
S194,7,T3,416.7,0.0324
S194,9,T4,154.2,0.0
S194,9,T6,281.4,0.0254
S194,11,T8,381.6,0.5085
S194,12,T4,435.6,0.0705
S194,17,T2,477.9,0.1773
S194,22,T5,456.3,0.0
S194,23,T4,528.6,0.0
S194,23,T6,3.3,0.0
S213,5,T5,1.8,0.0
S213,7,T5,3.6,0.0
S213,8,T3,1.8,0.0
S213,10,T3,1.8,0.0
S213,11,T4,2.7,0.2755
S213,12,T8,1.8,0.678
S213,13,T4,1.8,0.0
S213,15,T4,1.8,0.0598
S213,16,T3,2.7,0.0
S213,17,T6,1.8,0.0338
S213,18,T5,2.7,0.0
S213,19,T6,1.8,0.007400000000000001
S213,20,T4,1.8,0.0
S213,23,T4,3.6,0.0
S218,2,T8,36.0,0.0
S218,7,T3,120.6,0.0324
S218,9,T6,117.0,0.0254
S218,11,T8,97.2,0.5085
S218,12,T3,34.2,0.0
S218,13,T4,117.0,0.0
S218,14,T4,42.3,0.0
S218,17,T6,108.0,0.0338
S218,18,T5,43.2,0.0
S218,20,T4,42.3,0.0
S218,21,T4,95.4,0.0
S218,23,T5,139.5,0.0
S244,3,T4,34.2,0.0
S244,11,T6,117.0,0.0169
S244,12,T6,87.3,0.018
S244,13,T4,87.3,0.0
S244,16,T6,107.1,0.0169
S244,17,T3,108.9,0.0971
S244,20,T6,151.2,0.0
S244,21,T5,162.0,0.0
S244,22,T3,135.9,0.0
S244,23,T3,144.0,0.1295
S247,2,T4,216.9,0.0
S247,6,T5,300.6,0.0
S247,7,T4,230.4,0.0
S247,11,T8,209.7,0.5085
S247,12,T6,245.7,0.018
S247,18,T5,268.2,0.0
S247,19,T3,13.8,0.0324
S247,19,T4,227.4,0.0
S247,21,T5,269.1,0.0
S247,22,T3,260.1,0.0
S268,7,T4,506.7,0.0
S268,9,T4,544.5,0.0
S268,11,T8,473.4,0.5085
S268,14,T3,568.8,0.0
S268,17,T2,580.5,0.1773
S268,18,T5,554.4,0.0
S268,20,T3,563.4,0.0
S268,23,T6,646.2,0.0
S284,2,T5,95.4,0.0
S284,5,T3,189.9,0.1295
S284,6,T3,315.0,0.0
S284,7,T4,445.5,0.0
S284,9,T4,254.7,0.0
S284,11,T6,284.4,0.0169
S284,12,T3,249.6,0.0
S284,12,T6,89.7,0.018
S284,13,T4,291.6,0.0
S284,15,T3,333.0,0.0324
S284,17,T6,469.8,0.0338
S284,22,T4,292.5,0.0
S294,2,T3,73.8,0.0
S294,3,T4,88.2,0.0
S294,4,T4,89.1,0.0
S294,7,T5,81.9,0.0
S294,8,T3,84.6,0.0
S294,9,T6,87.3,0.0254
S294,11,T8,76.5,0.5085
S294,13,T4,82.8,0.0
S294,14,T4,86.4,0.0
S294,15,T6,90.9,0.007400000000000001
S294,19,T6,90.0,0.007400000000000001
S294,20,T3,94.5,0.0
S294,21,T4,82.8,0.0
S294,22,T3,85.5,0.0
S306,1,T2,498.6,0.7092
S306,2,T8,396.9,0.0
S306,4,T8,389.7,0.0
S306,5,T5,510.3,0.0
S306,6,T3,487.8,0.0
S306,7,T4,420.3,0.0
S306,11,T4,695.7,0.2755
S306,13,T4,438.6,0.0
S306,13,T6,193.2,0.014800000000000002
S306,21,T5,630.0,0.0
S306,23,T5,726.3,0.0
S356,2,T5,384.3,0.0
S356,3,T5,369.9,0.0
S356,4,T3,310.5,0.0
S356,5,T4,260.1,0.0
S356,6,T5,185.4,0.0
S356,7,T3,342.0,0.0324
S356,8,T3,731.7,0.0
S356,9,T6,774.0,0.0254
S356,11,T2,894.6,0.8865
S356,20,T5,1230.3,0.0
S356,21,T4,1338.3,0.0
S356,23,T6,1133.1,0.0
S361,4,T3,2124.0,0.0
S361,5,T1,1307.1,1.1194
S361,5,T4,864.6,0.0
S361,6,T4,578.1,0.0
S361,6,T5,1260.6,0.0
S361,7,T4,1656.9,0.0
S361,8,T4,1672.2,0.0
S361,9,T3,1953.0,0.0
S361,10,T6,1981.8,0.0254
S361,11,T6,1426.5,0.0169
S361,12,T6,1971.9,0.018
S361,13,T5,1587.6,0.0
S361,15,T3,1200.0,0.0324
S361,15,T4,390.3,0.0598
S361,16,T3,1149.0,0.0
S361,16,T4,1236.0,0.2242
S361,23,T4,872.4,0.0
S361,23,T5,1608.9,0.0
S365,2,T8,342.9,0.0
S365,3,T8,336.6,0.0
S365,4,T3,296.1,0.0
S365,5,T4,216.0,0.0
S365,6,T5,178.2,0.0
S365,7,T4,149.4,0.0
S365,9,T6,160.2,0.0254
S365,11,T8,144.0,0.5085
S365,12,T8,153.9,0.678
S365,14,T4,166.5,0.0
S365,15,T3,184.5,0.0324
S365,17,T6,162.0,0.0338
S365,18,T3,72.3,0.0
S365,18,T6,87.0,0.0042
S365,19,T4,147.6,0.0
S365,20,T5,150.3,0.0
S365,21,T3,147.6,0.0647
S365,22,T5,160.2,0.0
